Region,Status,Construction Amount,Federal Funding,State Funding,Local Funding,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
09 SOUTHERN TIER,Future Development,2500000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,2500000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,2500000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,2500000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,500000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,500000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,500000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,500000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,500000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,6000000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,6000000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,6000000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,1000000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,150000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,150000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,2500000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,1500000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,1500000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,3000000,,,,,,,
09 SOUTHERN TIER,Future Development,350000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,350000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,350000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,350000,Yes,Yes,,,,,
09 SOUTHERN TIER,Future Development,5600000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,5600000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,5600000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,5600000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,5600000,,Yes,,,,,
09 SOUTHERN TIER,Future Development,5600000,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,1127796.88,2018-11-02T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,2319553.24,2018-11-02T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,2144370.84,2018-09-14T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,2464738.34,2018-10-19T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,4962938.78,2018-09-17T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,2600000,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,534880.23,2018-09-21T00:00:00.000,GREEN,YELLOW
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,1012932.43,2018-08-03T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,421431.44,2018-09-07T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,1121684.69,2019-07-05T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,5063708.69,2018-11-02T00:00:00.000,GREEN,YELLOW
09 SOUTHERN TIER,Completed Project,500000,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,1289177.3,2018-11-30T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,1700000,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,620418.39,2018-09-14T00:00:00.000,GREEN,RED
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,1015187.78,2018-08-03T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,470000,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,800000,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,1000000,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,,,,,4309357.17,2018-11-30T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,636539.33,2019-05-29T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,1800000,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,800000,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,741183.21,2018-11-02T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,1300000,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,1600000,,Yes,,,,,
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,2540426.4,2018-10-05T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,11758114.95,2018-10-30T00:00:00.000,RED,GREEN
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,478328.27,2018-11-13T00:00:00.000,GREEN,GREEN
09 SOUTHERN TIER,Completed Project,,Yes,Yes,,633400.8,2019-06-14T00:00:00.000,GREEN,RED
10 LONG ISLAND,Under Construction,,Yes,Yes,,3848848.5,2020-01-08T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,,Yes,,868800,2019-12-24T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,9478335,2019-10-25T00:00:00.000,RED,GREEN
10 LONG ISLAND,Under Construction,,,Yes,,2068999,2020-02-28T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,5130723,2019-09-29T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,,Yes,,7805237.72,2019-07-10T00:00:00.000,RED,GREEN
10 LONG ISLAND,Under Construction,,,Yes,,3654114,2019-09-12T00:00:00.000,GREEN,RED
10 LONG ISLAND,Under Construction,,Yes,Yes,,22918753.62,2019-07-30T00:00:00.000,RED,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,7868121.04,2020-07-05T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,2724154.25,2019-08-01T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,4598020.81,2019-08-27T00:00:00.000,RED,GREEN
10 LONG ISLAND,Under Construction,,,Yes,,1499501.35,2020-07-27T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,,Yes,,3450445,2020-06-15T00:00:00.000,RED,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,6820426.55,2020-07-19T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,,,4035449.96,2019-12-30T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,32756202.85,2021-04-28T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,15936999.94,2019-10-25T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,7451704.76,2019-06-29T00:00:00.000,RED,RED
10 LONG ISLAND,Under Construction,,Yes,Yes,,16251788.76,2019-06-29T00:00:00.000,RED,GREEN
10 LONG ISLAND,Under Construction,,,Yes,,7442966.65,2019-09-11T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,10677248.83,2020-04-28T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,93500000,2019-11-20T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,16193713,2020-12-28T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,5193830,2021-03-22T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,,Yes,,3718976.24,2019-10-27T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,6905393,2019-07-24T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,8002941.47,2019-07-30T00:00:00.000,GREEN,YELLOW
10 LONG ISLAND,Under Construction,,,Yes,,5994093.48,2019-08-26T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,8112740.4,2019-10-27T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,7862113.9,2020-06-30T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,8860262.32,2020-05-12T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,,Yes,,8245200,2020-08-28T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,2451749.6,2020-04-08T00:00:00.000,GREEN,YELLOW
10 LONG ISLAND,Under Construction,,Yes,Yes,,4992825.15,2018-07-01T00:00:00.000,YELLOW,RED
10 LONG ISLAND,Under Construction,,,Yes,,3450445,2020-06-15T00:00:00.000,RED,GREEN
10 LONG ISLAND,Under Construction,,Yes,Yes,,4110724,2019-10-31T00:00:00.000,GREEN,YELLOW
10 LONG ISLAND,Under Construction,,Yes,Yes,,28208661.45,2020-08-13T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,In Development,3000000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,2400000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,19500000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,3500000,,Yes,,,,,
10 LONG ISLAND,In Development,3000000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,3600000,,Yes,,,,,
10 LONG ISLAND,In Development,5700000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,32000000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,19400000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,5300000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,3400000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,10500000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,8800000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,9100000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,,Yes,Yes,,,,,
10 LONG ISLAND,In Development,,Yes,Yes,,,,,
10 LONG ISLAND,In Development,56700000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,88400000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,11800000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,5500000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,10000000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,10000000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,5900000,,Yes,,,,,
10 LONG ISLAND,In Development,17300000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,1200000,,Yes,,,,,
10 LONG ISLAND,In Development,26500000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,6900000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,,Yes,Yes,,,,,
10 LONG ISLAND,In Development,3400000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,7500000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,4100000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,3500000,Yes,Yes,,,,,
10 LONG ISLAND,In Development,4200000,,Yes,,,,,
10 LONG ISLAND,Future Development,10000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,10000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,1200000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,1200000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,1200000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,1200000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7100000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,,Yes,,,,,
10 LONG ISLAND,Future Development,10000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4900000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4900000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4900000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3400000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,2200000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3300000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3800000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3800000,,Yes,,,,,
10 LONG ISLAND,Future Development,3600000,,Yes,,,,,
10 LONG ISLAND,Future Development,4700000,,Yes,,,,,
10 LONG ISLAND,Future Development,4700000,,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3300000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,14800000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,34400000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6200000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,22300000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,57000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,9000000,,Yes,,,,,
10 LONG ISLAND,Future Development,8600000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,70100000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,48700000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,49300000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,36300000,,Yes,,,,,
10 LONG ISLAND,Future Development,48500000,,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5100000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3900000,,Yes,,,,,
10 LONG ISLAND,Future Development,3900000,,Yes,,,,,
10 LONG ISLAND,Future Development,3900000,,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,,Yes,,,,,
10 LONG ISLAND,Future Development,21400000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,10000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,12000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,12000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,12000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,12000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,12000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7700000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,13600000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8400000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8600000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,5000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,12000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,13000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,8000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,7500000,,Yes,,,,,
10 LONG ISLAND,Future Development,7500000,,Yes,,,,,
10 LONG ISLAND,Future Development,7500000,,Yes,,,,,
10 LONG ISLAND,Future Development,7500000,,Yes,,,,,
10 LONG ISLAND,Future Development,7700000,,Yes,,,,,
10 LONG ISLAND,Future Development,7500000,,Yes,,,,,
10 LONG ISLAND,Future Development,38800000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,10500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,10500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6600000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6600000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,6800000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3700000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3700000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3700000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3700000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3600000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3700000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3500000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4400000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,3600000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Future Development,4000000,Yes,Yes,,,,,
10 LONG ISLAND,Completed Project,,Yes,Yes,,5635396.42,2018-11-09T00:00:00.000,GREEN,YELLOW
10 LONG ISLAND,Completed Project,,Yes,Yes,,10435053.02,2018-11-30T00:00:00.000,GREEN,RED
10 LONG ISLAND,Completed Project,,Yes,Yes,,13804021,2018-12-26T00:00:00.000,RED,GREEN
10 LONG ISLAND,Completed Project,,,Yes,,4654279.48,2019-03-28T00:00:00.000,YELLOW,GREEN
10 LONG ISLAND,Completed Project,,Yes,Yes,Yes,19210092.99,2018-10-08T00:00:00.000,RED,GREEN
10 LONG ISLAND,Completed Project,,,Yes,,1267167.03,2018-08-23T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Completed Project,,Yes,,,3538676.75,2019-04-08T00:00:00.000,GREEN,GREEN
10 LONG ISLAND,Completed Project,,,Yes,,3574798.54,2018-11-29T00:00:00.000,RED,GREEN
10 LONG ISLAND,Completed Project,,,Yes,,3823596.62,2018-09-01T00:00:00.000,RED,GREEN
10 LONG ISLAND,Completed Project,,,Yes,,16080889.5,2019-04-15T00:00:00.000,RED,GREEN
10 LONG ISLAND,Completed Project,,Yes,Yes,,12870570.49,2019-04-15T00:00:00.000,RED,GREEN
10 LONG ISLAND,Completed Project,,Yes,Yes,,10686295.78,2018-08-29T00:00:00.000,RED,GREEN
10 LONG ISLAND,Completed Project,,Yes,Yes,,10574594.31,2019-04-29T00:00:00.000,RED,GREEN
10 LONG ISLAND,Completed Project,,,Yes,,12085098,2019-05-01T00:00:00.000,YELLOW,RED
10 LONG ISLAND,Completed Project,,Yes,Yes,,3515267.09,2018-11-29T00:00:00.000,RED,GREEN
10 LONG ISLAND,Completed Project,,Yes,Yes,,3945642.21,2018-08-24T00:00:00.000,RED,GREEN
10 LONG ISLAND,Completed Project,,,Yes,,19187568.41,2018-08-03T00:00:00.000,RED,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,,2947695,2020-07-27T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,,53993949.85,2019-12-02T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,17560434.11,2019-12-11T00:00:00.000,GREEN,YELLOW
11 NEW YORK CITY,Under Construction,,Yes,Yes,,28452325,2021-04-27T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,30371546.34,2019-05-29T00:00:00.000,RED,YELLOW
11 NEW YORK CITY,Under Construction,,,Yes,,20723343.1,2020-03-07T00:00:00.000,GREEN,YELLOW
11 NEW YORK CITY,Under Construction,,,Yes,,26680095,2020-04-01T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,,14199865.45,2021-01-17T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,13841275.17,2018-12-23T00:00:00.000,GREEN,YELLOW
11 NEW YORK CITY,Under Construction,,,Yes,,2796925.46,2019-07-10T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,,77969790,2019-12-24T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,4556180.51,2021-04-24T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,4810996.87,2020-05-03T00:00:00.000,GREEN,RED
11 NEW YORK CITY,Under Construction,,Yes,Yes,,34940000,2019-05-05T00:00:00.000,GREEN,RED
11 NEW YORK CITY,Under Construction,,Yes,Yes,,69925815.78,2019-07-01T00:00:00.000,RED,RED
11 NEW YORK CITY,Under Construction,,Yes,Yes,,7420488,2019-03-19T00:00:00.000,GREEN,RED
11 NEW YORK CITY,Under Construction,,Yes,Yes,,365706001,2022-05-04T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,,Yes,,1733953,2020-01-20T00:00:00.000,GREEN,GREEN
11 NEW YORK CITY,Under Construction,,Yes,Yes,,8606731,2019-04-07T00:00:00.000,GREEN,RED
11 NEW YORK CITY,Under Construction,,,Yes,,10245788.45,2019-04-30T00:00:00.000,GREEN,RED
