Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
501134,D263295,05 WESTERN NEW YORK,RT 93 (DYSINGER RD); NORTH SIDE SIDEWALK REPLACEMENT,RT 93 (DYSINGER RD); NORTH SIDE SIDEWALK REPLACEMENT; FROM BEATTIE TO RAYMOND; TOWN OF LOCKPORT; NIAGARA COUNTY,Completed Project,Fall 2012,12/1/2016,,,,Yes,Yes,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project will improve pedestrian access where there are currently gaps in the sidewalk system by replacing deteriorated sidewalk along the north side of Rt 93 (Dysinger Rd) from Beattie to Raymond in the Town of Lockport, Niagara County.",2017-09-14T00:00:00.000,1032708.47,98237.67,1130946.14,2018-12-11T00:00:00.000,GREEN,YELLOW
501135,D263618,05 WESTERN NEW YORK,RT 93/MURDER CREEK,Superstructure Replacement of NY Rt 93 over Murder Creek; BIN 1034790; Village of Akron; Town of Newstead; Erie County,Completed Project,Winter 2015/2016,12/14/2017,,,,Yes,Yes,No,This project involves replacing the bridge superstructure.,"This project will replace NY Rt 93 bridge over Murder Creek in the Village of Akron, Town of Newstead in Erie County. Replacement of this bridge will allow for smoother commerce flow because the bridge is a connector between several major arterials, inclu",2018-03-02T00:00:00.000,1426957.5,-54150.07,1372807.43,2018-09-28T00:00:00.000,GREEN,GREEN
581225,D263599,05 WESTERN NEW YORK,RTS 60 & 83 SMALL CULVERTS,"Replacement of large culvert on Rt 83 (52008315932) and small culvert on Rt 60 (52006003752); Towns of Charlotte, Villenaova, Sherman & Harmony; County of Chautauqua",Completed Project,Summer 2015,12/14/2017,,,,Yes,Yes,No,This project involves the repair and replacement of culverts.,"This project will replace deteriorated culverts with new metal or concrete structures on NY Rts 60 & 83. This project is located in the Towns of Charlotte & Villenova, Chautauqua County.",2018-02-08T00:00:00.000,298267.5,-17738.92,280528.58,2018-09-17T00:00:00.000,GREEN,GREEN
504401,,05 WESTERN NEW YORK,"SOUTHTOWNS CONNECTOR, PHASE I; FUHRMANN BLVD AND RT 5","SOUTHTOWNS CONNECTOR, PHASE I; FUHRMANN BLVD AND RT 5; COAST GUARD BASE - UNION SHIP CANAL; CITIES OF BUFFALO & LACKAWANNA; ERIE COUNTY",Completed Project,Winter 2001/2002,Fall 2007,Winter 2007/2008,Fall 2010,58000000,Yes,Yes,Yes,This project involves reconstructing an asphalt highway.,"This project website contains information about all of the NYSDOT projects being undertaken on Buffalo's Outer Harbor.     Taking its cues from the natural environment and ecosystem of Lake Erie and from the rich industrial heritage of Buffalo, the Outer ",,,,,,,
575943,,05 WESTERN NEW YORK,UNION SHIP CANAL PROMENADE ENHANCEMENT,"UNION SHIP CANAL PROMEMADE -  IMPROVE WESTERN END OF UNION SHIP  CANAL. CONSTRUCT BOARDWALK AND  PROMENADE WITH BENCHES,  ARCHITECTUAL LIGHTING, FISH  CLEANING TABLES AND RAISED  LETTERING INFORMATIONAL DISPLAYS; CITY OF BUFFALO; ERIE COUNTY",Completed Project,Spring 2008,Winter 2009/2010,Spring 2010,Fall 2012,3000000,Yes,No,No,This project involves building or improving paths for shared use (bicycles and pedestrians).,"The improvements will provide enhanced fishing access by constructing an ADA-compliant boardwalk and promenade area. This boardwalk and promenade will include benches, architectural lighting and heritage markers describing the Union Ship Canal area. A dec",,,,,,,
576092,D263591,05 WESTERN NEW YORK,WILLIAMSVILLE PICTURE MAIN ST (TEP) & PAVING RT 5,"Williamsville Picture Main Street, Transportation Enhancement Program (TEP), as well as Paving of Rt 5 from I-290 to Williamsville EVL;  Village of Williamsville, Erie County",Completed Project,Summer 2014,12/14/2017,,,,Yes,Yes,Yes,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).",This Transportation Enhancement Project in the Village of Williamsville in Erie County will improve pedestrian safety and mobility thereby providing a more balanced multi-modal transportation system. These improvements would improve the quality of life wi,2018-05-04T00:00:00.000,4170766.63,527515.98,4698282.61,2018-11-13T00:00:00.000,GREEN,RED
680541,D263843,06 SOUTHERN TIER/CENTRAL NEW YORK,2018/19 BRIDGE JOINT REPAIRS (WAS 6SAT18),"FEDERAL AID ELIGIBLE BRIDGE JOINT REPAIRS TO ADDRESS DEFICIENCIES ON VARIOUS STRUCTURES ON I-86, I-99 AND ROUTES 14, 21, 352, 414, 415 & 961Q IN ALLEGANY, CHEMUNG, SCHUYLER, STEUBEN AND YATES COUNTIES.",Under Construction,Winter 2017/2018,11/29/2018,,,,Yes,Yes,No,This project involves minor bridge repairs.,"A project to perfrom bridge joint work on various structures on I-86, I-99, W Water Street East/I-86, CR 64/I-86 and Routes 14, 21, 352, 414, 415 & 961Q in the counties of Allegany, Chemung, Schuyler, Steuben and Yates.",2018-12-31T00:00:00.000,1039887,0,1039887,2019-10-02T00:00:00.000,GREEN,GREEN
680532,D263728,06 SOUTHERN TIER/CENTRAL NEW YORK,BRIDGE BEARING REPAIRS AND REPLACEMENTS,"BEARING REPAIRS AND REPLACEMENTS, I-86 (BINS 1072820 & 1090550), I-99 (BINS1011131 & 1011132) TOWNS OF AVOCA, CORNING AND LINDLEY IN STEUBEN COUNTY. STEEL BEAM REPAIRS ON I-86 (BIN 1028622) TOWN OF HORNELLSVILLE, STEUBEN COUNTY.",Under Construction,Summer 2016,6/7/2018,,,,Yes,Yes,No,This project involves general bridge repairs.,"A project to perform bridge bearing repairs on two bridges that carry I-99 over Glendening Creek, a bridge that carries I-86 over Post Creek and a bridge that carries I-86 over I-390 in the towns of Avoca and Bath, Steuben County. This project will also p",2018-07-05T00:00:00.000,1857887,-13856.65,1844030.35,2019-10-25T00:00:00.000,GREEN,GREEN
680509,D263859,06 SOUTHERN TIER/CENTRAL NEW YORK,BRIDGE PAINTING 2018,"BRIDGE PAINTING ON VARIOUS STRUCTURES TO EXTEND SERVICE LIFE AT LOCATIONS IN ONE OR MORE OF THE FOLLOWING COUNTIES: CHEMUNG, SCHUYLER, AND STEUBEN.",Under Construction,Fall 2018,1/10/2019,,,,Yes,Yes,No,This project involves bridge painting to protect bridges from the elements.,"A project to perform bridge painting on various structures at locations in one or more of the following counties: Chemung, Schuyler, and Steuben.",2019-02-22T00:00:00.000,2650000,0,2650000,2020-10-01T00:00:00.000,GREEN,GREEN
680543,D263886,06 SOUTHERN TIER/CENTRAL NEW YORK,BRIDGE WASHING & DECK SEALING 2018/19 (WAS 6T9024),"BRIDGE WASHING AND DECK SEALING AT VARIOUS LOCATIONS IN ONE OR MORE OF THE FOLLOWING COUNTIES: ALLEGANY, CHEMUNG, SCHUYLER, STEUBEN AND YATES. (FORMERLY PIN: 6T9024)",Under Construction,Fall 2018,2/14/2019,,,,Yes,Yes,No,This project involves bridge cleaning.,"A project to perform bridge washing and deck sealing at various locations in one or more of the following counties: Allegany, Chemung, Schuyler, Steuben and Yates.",2019-03-18T00:00:00.000,1188876,0,1188876,2019-10-31T00:00:00.000,GREEN,GREEN
606720,D263872,06 SOUTHERN TIER/CENTRAL NEW YORK,"CR 56 /I-86 BRIDGE REHAB, BIN 1061290","CR 56 OVER I-86 BRIDGE DECK REPLACEMENT, BIN 1061290, TOWN OF CHEMUNG, CHEMUNG COUNTY.",Under Construction,Spring 2016,1/24/2019,,,,Yes,Yes,No,This project involves replacing bridge decks.,"A project to replace the deck of the bridge that carries County Route 56 over Interstate 86 in the town of Chemung, Chemung County.",2019-03-05T00:00:00.000,2211111.11,0,2211111.11,2020-10-31T00:00:00.000,GREEN,GREEN
