Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
181027,D263823,01 CAPITAL DISTRICT,"BIN 1033851, I-87 OVER UNDERPASS RD BRIDGE DECK REPLACEMENT","This project is a bridge deck replacement for the bridge carrying I-87 southbound over Underpass Road. BIN 1033851. Town of Chesterfield, Essex County.",Under Construction,,11/29/2018,,,,Yes,Yes,No,This project involves replacing bridge decks.,"This project will make repairs to the southbound bridge of Interstate 87 over Underpass Road. Town of Chesterfield, Essex County.",2019-02-20T00:00:00.000,1107400,6905.42,1114305.42,2019-10-02T00:00:00.000,GREEN,GREEN
180898,D263373,01 CAPITAL DISTRICT,BRIDGE CORRECTIVE MAINTENANCE SFY16 2ND PROJECT,"BRIDGE CORRECTIVE MAINTENANCE 16B, VARIOUS LOCATIONS",Under Construction,,1/26/2017,,,,Yes,Yes,No,This project involves minor bridge repairs.,"This project will repair various bridges throughout the eight counties in Region 1. These are Albany, Essex, Rensselaer, Warren and Washington.",2017-03-24T00:00:00.000,6394000,528952.57,6922952.57,2018-11-01T00:00:00.000,GREEN,YELLOW
180957,D263583,01 CAPITAL DISTRICT,BRIDGE CORRECTIVE MAINTENANCE SFY17,"BRIDGE CORRECTIVE MAINTENANCE SFY17 ON I87 OVER RT.9N, WESTPORT; I87 OVER RT.9, NORTH HUDSON; I87 OVER RT.74, SCHROON; DIAMOND PT. OVER I87, LAKE GEORGE; 9 OVER SCHROON RVR, LAKE GEORGE; JONES RD OVER I87, WILTON; 29 OVER FISH CREEK, SARATOGA.",Under Construction,,11/30/2017,,,,Yes,Yes,No,This project involves general bridge repairs.,This project will make repairs to the bridges at the following locations: Interstate 87 over State Route 9N; Interstate 87 over State Route 9; Interstate 87 over State Route 74; Diamond Point Road over Interstate 87; State Route 9 over the Schroon Riv,2018-03-12T00:00:00.000,5148770.42,18265.45,5167035.87,2019-01-09T00:00:00.000,GREEN,GREEN
180958,D263857,01 CAPITAL DISTRICT,BRIDGE PRESERVATION SFY19,"BRIDGE PRESERVATION SFY19, BIN 1033472 & 1033471 (Warren County)  BIN 1033430 (Saratoga County)  BIN 1073110 & 1073100 (Albany County)  BIN 1072860 (Albany County)  BIN 1073090 (Albany County)",Under Construction,,4/25/2019,,,,Yes,Yes,No,This project involves general bridge repairs.,"This project will address various needs on bridges in Region One during State Fiscal Year 18/19 which runs from April 1st, 2019 to March 31st, 2020. Counties of Albany, Saratoga, and Warren.  ",2019-05-29T00:00:00.000,4634531,0,4634531,2020-10-02T00:00:00.000,GREEN,GREEN
180955,D263691,01 CAPITAL DISTRICT,BRIDGE WHERE AND WHEN AND WOC SFY17,BRIDGE WHERE AND WHEN AND WOC CONTRACT 17,Under Construction,,3/29/2018,,,,No,Yes,No,This project involves emergency bridge repairs.,"This project will provide for any demand repairs to the bridges on the state highway system in any of the eight counties that make up Region 1, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.  ",2018-05-09T00:00:00.000,1920965,0,1920965,2019-05-31T00:00:00.000,GREEN,GREEN
180956,D263957,01 CAPITAL DISTRICT,BRIDGE WHERE AND WHEN AND WOC SFY 26,BRIDGE WHERE AND WHEN AND WOC CONTRACT SFY 26,Under Construction,,4/11/2019,,,,No,Yes,No,This project involves emergency bridge repairs.,"Provide for any demand repairs to the bridges on the state highway system in any of the eight counties that make up Region 1, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",2019-06-05T00:00:00.000,1940075,0,1940075,2020-05-31T00:00:00.000,GREEN,GREEN
1BOW0G,D263301,01 CAPITAL DISTRICT,"CBOW 25,27. TWO BRIDGES IN GREENE COUNTY","CBOW 25,27. TWO BRIDGES IN GREENE COUNTY, TOWN OF PRATTSVILLE",Under Construction,,2/16/2017,,,,No,No,No,This project involves replacing a bridge due to structural problems.,"This project will replace two bridges in the Town of Prattsville, Greene County. The bridges are State Route 23 over the Huntersfield Creek and State Route 23 over the Schoharie Creek.",2017-03-24T00:00:00.000,13000000.13,-657897.75,12342102.38,2019-06-30T00:00:00.000,GREEN,GREEN
181009,D263841,01 CAPITAL DISTRICT,CULVERT REPAIR OR REPLACEMENT SFY18,"CULVERT REPAIR/REPLACE SFY18 (was 1T0924) C110057 COEYMANS, C110164 WESTERLO, & C110106 NEW SCOTLAND: ALBANY CO. CA00302 PETERSBURGH: RENSSELAER CO.  C150117 HALFMOON & C150085 WILTON: SARATOGA CO. C180068 GRANVILLE & C180069 HARTFORD: WASHINGTON CO.",Under Construction,,12/13/2018,,,,Yes,Yes,No,This project involves the repair and replacement of culverts.,"This project will replace or rehabilitate several large culverts under state routes in: Towns of Coeymans, Westerlo, and New Scotland, Albany County; Town of Petersburgh, Rensselaer County; Towns of Halfmoon and Wilton, Saratoga County; and Towns of Gr",2019-06-03T00:00:00.000,3656356.31,0,3656356.31,2020-08-01T00:00:00.000,GREEN,GREEN
181013,D263914,01 CAPITAL DISTRICT,GUIDERAIL REPLACE SFY19,"GUIDERAIL REPAIR/REPLACE  SFY19 (was 1T0848). RT 443 FROM RM 443-1102-1140 to RM 443-1102-1193 IN THE Town of New Scotland, Albany County.",Under Construction,,3/14/2019,,,,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"Provide for repairs to guiderail along New York State Route 443 from Stove Pipe Road to Meads Lane. Town of New Scotland, Albany County.",2019-04-03T00:00:00.000,659659,0,659659,2019-12-01T00:00:00.000,GREEN,GREEN
180969,D263277,01 CAPITAL DISTRICT,HIGHWAY W.O.C. SFY16,HIGHWAY WOC 16,Under Construction,,11/3/2016,,,,No,Yes,No,This project involves repaving roads using a single overlay of pavement.,This project will conduct preventative maintenance and/or repair pavement to improve conditions at various locations in Region One.,2017-03-13T00:00:00.000,2836000,545699.11,3381699.11,2018-12-23T00:00:00.000,GREEN,RED
180972,D263960,01 CAPITAL DISTRICT,HSIP CARDS AND DURABLE PAVEMNT MARKINGS INSTALLATION SFY 19,HSIP (SAFETY) SFY 19 REGION ONE CARDS AND DURABLE PAVEMENT MARKINGS INSTALLATION (INCLUDES PIN 181036),Under Construction,,4/11/2019,,,,Yes,Yes,No,,This project will install noise making strips in the center of the road to alert drivers who are starting to drift into the oncoming lane. Priority is given to locations that have documented an above average amount of accidents. The project will also inst,2019-05-10T00:00:00.000,2895869.52,0,2895869.52,2019-12-01T00:00:00.000,GREEN,GREEN
180966,D263765,01 CAPITAL DISTRICT,"HWY WHERE AND WHEN CONTRACT REGION 1, SFY18","Highway where and when contract in Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington Counties SFY 18",Under Construction,,8/9/2018,,,,No,Yes,No,This project involves emergency highway repairs.,"This project will provide for any demand repairs to the state highway system in any of the following counties: Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington.",2018-09-26T00:00:00.000,4066000,1695341.82,5761341.82,2020-08-31T00:00:00.000,GREEN,RED
172190,D263788,01 CAPITAL DISTRICT,"I-87: EXIT 4, AIRPORT CONNECTOR, PART2","I-87: EXIT 4, AIRPORT CONNECTOR, PART 2, TOWN OF COLONIE, ALBANY COUNTY",Under Construction,,9/26/2018,,,,Yes,Yes,No,This project involves constructing a new highway.,"Access to the Albany International Airport requires exiting the highway and traveling over 2 miles on surface road. This proposed project would link two of the major transportation facilities of the Capital District, Interstate 87 and the Albany Internati",2018-11-29T00:00:00.000,31077048.27,1081101.8,32158150.07,2019-12-18T00:00:00.000,GREEN,GREEN
108543,D263931,01 CAPITAL DISTRICT,"NY 146/NY 146A INTERSECTION: SAFETY IMPROVE, CLIFTON PARK","NY 146/NY 146A Intersection: Safety  Improvements, Town of Clifton Park, Saratoga County",Under Construction,,3/28/2019,,,,Yes,Yes,No,This project involves reconstruction of intersections.,"Make safety improvements to the intersection of State Route 146 with State Route 146A. The scope of the improvements has yet to be determined. Town of Clifton Park, Saratoga County.",2019-04-22T00:00:00.000,3880450,0,3880450,2019-12-01T00:00:00.000,GREEN,GREEN
10PS01,D263514,01 CAPITAL DISTRICT,NYS PEDESTRIAN SAFETY ACTION PLAN: PHASE ONE,"NYS PEDESTRIAN SAFETY ACTION PLAN: PHASE ONE. This project includes various pedestrian infrastructure improvements, public education efforts, and increased law enforcement efforts. Region Wide.",Under Construction,,6/22/2017,,,,Yes,No,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project is Phase One of New York's first ever comprehensive pedestrian safety action plan. This five-year, multi-agency initiative provides New York State Department of Transportations' Region One (Albany, Essex, Greene, Rensselaer, Saratoga, Schenec",2017-07-20T00:00:00.000,2822547.16,66010.67,2888557.83,2019-05-01T00:00:00.000,GREEN,GREEN
181012,D263660,01 CAPITAL DISTRICT,PAVEMENT CORRECTIVE MAINTENANCE SFY18,"PAVEMENT MAINTENANCE, SFY18,  Asphalt Concrete Milling, Resurfacing & Pavement Repairs on Routes 144, 23, 7, 4, 50, and 67",Under Construction,,3/8/2018,,,,Yes,Yes,No,This project involves applying treatments to existing pavement to extend its life against traffic wear.,"This project will conduct preventative maintenance and/or repair pavement to improve conditions at the following locations: State Route 7 (Hoosic Road) from just west of the intersection with Betts Road to the intersection with State Route 278, Town of Br",2018-05-07T00:00:00.000,7452825.09,17239.72,7470064.81,2018-12-01T00:00:00.000,GREEN,GREEN
181039,D263933,01 CAPITAL DISTRICT,PAVEMENT CORRECTIVE MAINTENANCE SFY19,"PAVEMENT CORRECTIVE MAINTENANCE SFY19A (was 1T0921). Routes 214, 385, 23A, 5, and 7. TOWNS OF ATHENS, CATSKILL, HUNTER, TANNERSVILLE, GLENVILLE, & ROTTERDAM. VILLAGES OF ATHENS, CATSKILL, & TANNERSVILLE. GREENE AND SCHEN CO",Under Construction,,4/11/2019,,,,Yes,Yes,No,This project involves applying treatments to existing pavement to extend its life against traffic wear.,"Conduct preventative maintenance or repair pavement to improve conditions on State Route 214 in the Town of Hunter, State Route 385 in the Town and Village of Catskill and the Town and Village of Athens, and State Route 23A in the Village of Tannersville",2019-05-10T00:00:00.000,13187499.37,-34788,13152711.37,2020-07-01T00:00:00.000,GREEN,GREEN
100719,D263715,01 CAPITAL DISTRICT,"PAVEMENT MAINTENANCE AND ADA IMPROVEMENTS,HAMLET OF COEYMANS","Pavement Corrective Maintenance and ADA improvement in the Hamlet of Coeymans Town of Ravena, and Town of New Baltimore, Albany and Greene Counties.",Under Construction,,4/26/2018,,,,Yes,Yes,Yes,This project involves repaving roads using a single overlay of pavement.,This project will improve pavement conditions as well as make various ADA improvements along the following State Routes: State Route 144 from the intersection with Nadine Mountain Road to Coeymans Creek and the intersection with State Route 143. Towns of ,2018-06-21T00:00:00.000,2591171.78,64984.13,2656155.91,2018-10-31T00:00:00.000,GREEN,GREEN
180968,D263693,01 CAPITAL DISTRICT,PAVEMENT MAINTENANCE SFY18 2ND PROJECT,PAVEMENT MAINTENANCE SFY18 2ND PROJECT VARIOUS LOCATIONS,Under Construction,,4/19/2018,,,,Yes,Yes,Yes,This project involves repaving roads using a single overlay of pavement.,"This project will conduct preventative maintenance and/or repair pavement to improve conditions at the following locations: State Route 20 from the intersection with the Northway to the Town of Guilderland/City of Albany line, Town of Guilderland, Albany ",2018-05-23T00:00:00.000,7575858.49,1511057.8,9086916.29,2018-10-31T00:00:00.000,GREEN,RED
105181,D263740,01 CAPITAL DISTRICT,ROUTE 787 (COHOES BLVD) CORRIDOR IMPROVEMENTS,"Route 787 (Cohoes Blvd) Corridor, from Tibbits Avenue to Route 32, City of Cohoes, Albany County.",Under Construction,,6/21/2018,,,,No,Yes,No,This project involves reconstruction of intersections.,"Improvements to Route 787, Cohoes Boulevard intended to improve safety and calm traffic. Treatments may include a raised median, pedestrian facility improvements and connections, and aesthetic treatments. The corridor serves as the gateway to the City of ",2018-07-17T00:00:00.000,10680985,356117.91,11037102.91,2019-10-31T00:00:00.000,GREEN,GREEN
101311,D263549,01 CAPITAL DISTRICT,"RT. 42/SCHOHARIE CREEK, BRIDGE REHABILITATION, LEXINGTON","BRIDGE REHABILITATION TO ADDRESS CONDITION RATING,  RT.42 OVER SCHOHARIE CREEK, BIN 1025220, TOWN OF LEXINGTON; GREENE COUNTY",Under Construction,Summer 2015,10/19/2017,,,,Yes,Yes,No,This project involves repairs to bridges before they become much more costly to fix.,"This project will rehabilitate the structure that carries Rt. 42 over the Schoharie Creek, in the Town of Lexington, Greene County.",2018-01-24T00:00:00.000,1555515,103781.53,1659296.53,2018-10-02T00:00:00.000,GREEN,YELLOW
118836,D263785,01 CAPITAL DISTRICT,"RT. 67 OVR BATTENKILL RR, BRIDGE REPLACE, BIN 1029260","BIN 1029260, Route 67 over the Battenkill Railroad Bridge Replacement, Town of White Creek, Washington County.",Under Construction,,10/25/2018,,,,Yes,Yes,No,This project involves general bridge rehabilitation work.,"The bridge carrying State Route 67 over the Battenkill Railroad Bridge is nearing the end of its lifespan. A new bridge will be constructed to take its place. Town of White Creek, Washington County.",2019-01-04T00:00:00.000,5420900.55,103292.09,5524192.64,2019-10-31T00:00:00.000,GREEN,GREEN
130681,D263826,01 CAPITAL DISTRICT,"RT. 7 OVER THE HUDSON, BRIDGE REPAIR, BIN 1070869","RT. 7 OVER THE HUDSON, BIN  1070869, BRIDGE REHAB. PAVEMENT REPAIR TO MAINTAIN OR IMPROVE CONDITION RATING: RT. 7; FROM I-87 TO I-787 OVERLAP. VILLAGE OF GREEN ISLAND AND CITY OF  TROY, ALBANY AND RENSSELAER  COUNTIES",Under Construction,,11/29/2018,,,,Yes,Yes,No,This project involves repairs to bridges before they become much more costly to fix.,"This project will make repairs to the bridge carrying State Route 7 over the Hudson River. Village of Green Island and City of Troy. Albany and Rensselaer Counties. INCL BRIDGES ON NY7 ARE 1070869, 1072469, 1072469, 1072489.INCL RAMPS: 107086A, 107086B, 1",2019-02-15T00:00:00.000,26855268.55,175786.2,27031054.75,2020-10-31T00:00:00.000,GREEN,GREEN
104334,D263577,01 CAPITAL DISTRICT,"RT. 9 OVER 9J, 9 OVER AMTRAK-CONRAIL, BRIDGE REPLACEMENT","BRIDGE REPLACEMENT TO ADDRESS CONDITION RATING: RT. 9 OVER 9J, 9 OVER AMTRAK-CONRAIL, BINS 1005520 & 2005510, CITY OF RENSSELAER, RENSSELAER COUNTY.",Under Construction,Winter 2012/2013,1/25/2018,,,,Yes,Yes,No,This project involves replacing bridge decks.,"This project will repair the structures that carry Route 9 over 9J, and Route 9 over Amtrak/Conrail in the City of Rensselaer, Rensselaer County.",2018-03-27T00:00:00.000,9745743.62,1589564.94,11335308.56,2019-11-15T00:00:00.000,GREEN,RED
180974,D263710,01 CAPITAL DISTRICT,RUSTIC RAIL REPLACEMENT SFY18,RUSTIC RAIL REPLACEMENT SFY18 VARIOUS LOCATIONS,Under Construction,,5/17/2018,,,,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project will replace rustic guiderail in Region 1 during State Fiscal Year 18/19, which runs from April 1, 2018 to March 31, 2019. Routes 9N, 9, 22, 28, 74, and 185; Essex and Warren Counties. Route 9N; Towns of Jay, Keene, Elizabethtown, and Westp",2018-06-11T00:00:00.000,2585596,10990.25,2596586.25,2019-05-31T00:00:00.000,GREEN,GREEN
181031,D263929,01 CAPITAL DISTRICT,RUSTIC RAIL REPLACEMENT SFY19,RUSTIC GUIDERAIL REPLACEMENT SFY19  AT ROUTES 9 AND 9N IN ESSEX COUNTY; ROUTE 9N IN WARREN COUNTY.,Under Construction,,4/25/2019,,,,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"Set-aside of funds to make guiderail repairs as needed during State Fiscal Year 19/20 which runs from April 1st, 2019 to March 31st, 2020. US Route 9 in Essex County, State Route 9N in Essex County, and State Route 9N in Warren County. The non-federal aid",2019-05-29T00:00:00.000,1920929,0,1920929,2020-05-31T00:00:00.000,GREEN,GREEN
182286,D263505,01 CAPITAL DISTRICT,"SCHENECTADY RAIL STATION - PART 2, BUILDING","WESTERN GATEWAY/SCHENECTADY TRANSPORTATION CENTER, PURCHASE OF AMTRAK STATION AND CONSTRUCTION OF A NEW INTERMODAL FACILITY, CITY OF SCHENECTADY, SCHENECTADY COUNTY. PART 2 - BUILDING.",Under Construction,,10/19/2017,,,,No,Yes,Yes,This project involves the purchase of buildings.,The Rail Station Part 2 will construct a new rail station at the location of the existing rail station in Schenectady. Drainage retention and paving of the existing parking lot is included. The contract follows a 2017 season construction contract is under,2017-12-27T00:00:00.000,10425900,44182.6,10470082.6,2019-07-31T00:00:00.000,GREEN,GREEN
180981,D263776,01 CAPITAL DISTRICT,"SOUTH MALL RAMP TO I787 NORTH, BRIDGE REPAIR BIN 109298C","SOUTH MALL RAMP TO I787 NORTH, BIN 109298C, BRIDGE REPAIR. CITY OF ALBANY, ALBANY COUNTY",Under Construction,,9/13/2018,,,,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This project will make repairs to the South Mall Expressway bridge ramp that allows access to the northbound side of Interstate 787. City of Albany, Albany County.",2018-11-15T00:00:00.000,7947016.6,0,7947016.6,2020-10-31T00:00:00.000,GREEN,GREEN
181006,D263762,01 CAPITAL DISTRICT,TRAFFIC SIGNALS REBUILD SFY 18,"Traffic Signals Rebuild and Intersection Safety Improvements, SFY 18",Under Construction,,7/12/2018,,,,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will replace traffic signals at the following intersections: Route 32 at Elm Street (Watervliet, Albany County); Freemans Bridge Road at Sunnyside Road (Glenville, Schenectady County); Interstate 90 Ramps at Everett Road (Albany, Albany Cou",2018-08-01T00:00:00.000,992008.9,26948.41,1018957.31,2019-12-01T00:00:00.000,GREEN,GREEN
181011,D263459,01 CAPITAL DISTRICT,TRAFFIC SIGNALS WHERE AND WHEN SFY17,TRAFFIC SIGNALS WHERE AND WHEN SFY17 (was 1T0851),Under Construction,,4/20/2017,,,,No,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will replace traffic signals in various locations throughout Region 1, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.  ",2017-05-15T00:00:00.000,846355,108862.57,955217.57,2019-05-01T00:00:00.000,GREEN,RED
181038,D263961,01 CAPITAL DISTRICT,TRAFFIC SIGNALS WHERE AND WHEN SFY19,TRAFFIC SIGNALS WHERE AND WHEN SFY19 (was 1T0851),Under Construction,,4/11/2019,,,,No,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will replace traffic signals in various locations throughout Region One, which includes Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",2019-05-09T00:00:00.000,822278.8,0,822278.8,2021-05-01T00:00:00.000,GREEN,GREEN
100716,,01 CAPITAL DISTRICT,"BIN 1038070 RT. 144 OVER HANNACROIS CREEK, COEYMANS","BIN 1038070 RT. 144 OVER HANNACROIS CREEK, TOWN OF COEYMANS, ALBANY COUNTY",In Development,Summer 2018,Summer 2020,Summer 2020,Winter 2020/2021,2800000,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This project will make repairs to the bridge carrying State Route 144 over the Hannacrois Creek. Town of Coeymans, Albany County.",,,,,,,
181034,,01 CAPITAL DISTRICT,BRIDGE PRESERVATION SFY19,BRIDGE PRESERVATION SFY19 VARIOUS LOCATIONS,In Development,,Winter 2019/2020,Spring 2020,Winter 2020/2021,2500000,Yes,Yes,No,This project involves general bridge repairs.,"Includes preventative maintenance bridge repairs to address specific needs at various locations in Region One, which includes Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",,,,,,,
181014,,01 CAPITAL DISTRICT,CULVERT REPAIR OR REPLACEMENT SFY19,CULVERT REPAIR/REPLACE SFY19 (1T0925) VARIOUS LOCATIONS,In Development,,Fall 2019,Winter 2019/2020,Summer 2021,3000000,Yes,Yes,No,This project involves the repair and replacement of culverts.,"This project will replace or rehabilitate several large culverts under state routes at various locations in Region One, which includes Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",,,,,,,
181035,,01 CAPITAL DISTRICT,CULVERT REPAIR OR REPLACEMENT SFY20,CULVERT REPAIR/REPLACE SFY 20 VARIOUS LOCATIONS,In Development,,Fall 2020,Winter 2020/2021,Summer 2022,3000000,Yes,Yes,No,This project involves the repair and replacement of culverts.,"Replace or rehabilitate several large culverts under state routes at various locations in Region One, which includes Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",,,,,,,
181033,,01 CAPITAL DISTRICT,GUIDERAIL REPLACEMENT SFY20,GUIDERAIL REPLACEMENT SFY20 (was 1T0848) VARIOUS LOCATIONS,In Development,,Winter 2019/2020,Spring 2020,Summer 2020,1000000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"Provide for repairs to guiderail along the state highway system in any of the eight counties that make up Region One, including Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren and Washington counties.",,,,,,,
108540,,01 CAPITAL DISTRICT,"HSIP, ROUTE 146, CARMAN ROAD SAFETY WIDENING, GUILDERLAND","HSIP, ROUTE 146, CARMAN ROAD SAFETY WIDENING, TOWN OF GUILDERLAND, ALBANY COUNTY.",In Development,,Winter 2019/2020,Spring 2020,Fall 2020,900000,Yes,Yes,No,This project involves the widening of highways.,"This project will install a new two-way turn lane, new sidewalks, and various pedestrian accomodations on Carman Road. The project limits are from the intersection with Jessamine Lane to 500 feet past the intersection with Old Carmen Road. Town of Guilder",,,,,,,
172246,,01 CAPITAL DISTRICT,"I-87 OVER RT 9, BRIDGE REPAIR, LAKE GEORGE, BINS 1005741/2","I-87 OVER ROUTE 9, BINS 1005741 AND 1005742, BRIDGE REPAIR, TOWN OF LAKE GEORGE, WARREN COUNTY",In Development,,Summer 2021,Fall 2021,Spring 2022,9000000,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This project will make repairs to the bridge carrying Interstate 87 over State Route 9. Town of Lake George, Warren County.",,,,,,,
152884,,01 CAPITAL DISTRICT,"I-90 OVER ERIE BLVD, BRIDGE REPAIRS BINS 1092451/2","I-90 OVER ERIE BLVD, BRIDGE REPAIRS, BINS 1092451, 1092452, CITY OF ALBANY, ALBANY COUNTY",In Development,,Fall 2019,Winter 2019/2020,Fall 2020,5500000,Yes,Yes,No,This project involves repairs to bridges before they become much more costly to fix.,"This project will make repairs to the bridge carrying Interstate 90 over Erie Boulevard. City of Albany, Albany County.",,,,,,,
152882,,01 CAPITAL DISTRICT,"I-90 OVER FULLER RD, DECK REPLACE, ALBANY CITY, BIN 1034479","I-90 OVER FULLER ROAD, DECK REPLACEMENT, CITY OF ALBANY, ALBANY COUNTY, BIN 1034479",In Development,,Fall 2019,Winter 2019/2020,Fall 2020,5800000,Yes,Yes,No,This project involves repairs to bridges before they become much more costly to fix.,"Replace the deck and provide other structural repairs to the I-90 bridge over Fuller Road. Rehabilitation of this Bridge, which was originally constructed in 1968, will extend the useful life of the structure providing continued access between the Thruway",,,,,,,
181074,,01 CAPITAL DISTRICT,MENANDS BIKE/PED CONNECTOR: BROADWAY TO MOHAWK HUDSON BIKE T,"Project to construct a bicycle and pedestrian connection from Broadway to the Mohawk Hudson Bike Trail along the Hudson River, crossing I-787 in the Village of Menands, Albany County.",In Development,,Fall 2019,Winter 2019/2020,Summer 2020,4400000,Yes,Yes,No,"This project involves rehabilitating pedestrian facilities (paths, sidewalks, crosswalks, etc.).","Project to construct a bicycle and pedestrian connection from Broadway to the Mohawk Hudson Bike Trail along the Hudson River, crossing Interstate 787 in the Village of Menands, Albany County.",,,,,,,
181026,,01 CAPITAL DISTRICT,"NY 911F (FREEMANS BRIDGE) OVER THE MOHAWK RIVER, BIN 4050330","NY 911F (Freemans Bridge) over the Mohawk River/Erie Canal (BIN 4050330) Bridge rehab or repair to address condition rating, Town of Glenville, Schenectady County.",In Development,,Summer 2019,Fall 2019,Fall 2020,2800000,Yes,Yes,No,This project involves repairs to bridges before they become much more costly to fix.,"This project will repair State Route 911F (Freemans Bridge) over the Mohawk River/Erie Canal (BIN 4050330). Town of Glenville, Schenectady County.",,,,,,,
10PS02,,01 CAPITAL DISTRICT,NYS PEDESTRIAN SAFETY ACTION PLAN: PHASE TWO,"NYS PEDESTRIAN SAFETY ACTION PLAN: PHASE TWO. This project includes various pedestrian infrastructure improvements, public education efforts, and increased law enforcement efforts. Region Wide.",In Development,,Fall 2019,Winter 2019/2020,Summer 2020,2200000,Yes,No,No,"This project involves building or maintaining pedestrian facilities (paths, sidewalks, crosswalks, etc,).","This project is Phase Two of New York's first ever comprehensive pedestrian safety action plan. This five-year, multi-agency initiative provides New York State Department of Transportations' Region One (Albany, Essex, Greene, Rensselaer, Saratoga, Schenec",,,,,,,
181040,,01 CAPITAL DISTRICT,PAVEMENT CORRECTIVE MAINTENANCE SFY19 2ND PROJECT,"PAVEMENT MAINTENANCE SFY19 2ND PROJECT. Albany County: Routes 9, 146. Rensselaer County: Routes 40, 43, 136. Saratoga County: Routes 9, 29, 9P.",In Development,,Spring 2019,Summer 2019,Winter 2019/2020,9800000,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"This project will conduct preventative maintenance and/or repair pavement to improve conditions at various locations in Region One. The routes to be addressed are: Albany County: Routes 9, 146. Rensselaer County: Routes 40, 43, 136. Saratoga County: Route",,,,,,,
181066,,01 CAPITAL DISTRICT,PAVEMENT CORRECTIVE MAINTENANCE SFY20,PAVEMENT MAINTENANCE SFY20 - VARIOUS LOCATIONS,In Development,,Winter 2019/2020,Spring 2020,Fall 2020,8000000,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"Funding set-aside for pavement maintenance as needed in State Fiscal Year 20/21 (4/1/2020-3/31/2021). It is eligible for use in the following counties: Albany, Rensselaer, Saratoga, Schenectady.",,,,,,,
181067,,01 CAPITAL DISTRICT,PAVEMENT CORRECTIVE MAINTENANCE SFY20 2ND PROJECT,PAVEMENT MAINTENANCE SFY20 - VARIOUS LOCATIONS,In Development,,Winter 2019/2020,Spring 2020,Fall 2020,8200000,Yes,Yes,No,This project involves repaving roads using a single overlay of pavement.,"Set-aside of funds for pavement maintenance as needed in State Fiscal Year 20/21 (4/1/2020-3/31/2021). It is eligible for use in the following counties: Albany, Essex, Greene, Rensselaer, Saratoga, Schenectady, Warren, Washington.",,,,,,,
123627,,01 CAPITAL DISTRICT,"ROUTE 29 OVER THE BATTENKILL, BRIDGE REPLACE, BIN 1020720","ROUTE 29 OVER THE BATTENKILL, BRIDGE REPLACEMENT, BIN 1020720, TOWN OF EASTON, WASHINGTON COUNTY",In Development,,Summer 2019,Fall 2019,Fall 2020,4500000,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace the Route 29 bridge over the Batten kill which was originally constructed in 1978. The Bridge is located in the Town of Easton, Washington County.",,,,,,,
102409,,01 CAPITAL DISTRICT,"RT.196 OVER DIKE ROAD (CANAL) BRIDGE RPR/ REPL, BIN 4039820","ROUTE 196 OVER DIKE ROAD (CANAL), BRIDGE REPAIR, TOWN OF KINGSBURY, WASHINGTON COUNTY, BIN 4039820",In Development,,Summer 2020,Summer 2020,Spring 2022,2000000,Yes,Yes,No,This project involves general bridge repairs.,"Make repairs to the bridge carrying State Route 196 over Dike Road (Canal). Town of Kingsbury, Washington County.",,,,,,,
