Region,Status,Construction Amount,Federal Funding,State Funding,Local Funding,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
04 GENESEE VALLEY,Under Construction,,No,Yes,No,1024300,2019-06-01T00:00:00.000,GREEN,GREEN
04 GENESEE VALLEY,Under Construction,,No,Yes,No,147101,2020-02-02T00:00:00.000,GREEN,RED
04 GENESEE VALLEY,Under Construction,900000,No,Yes,No,,,,
04 GENESEE VALLEY,Under Construction,,No,Yes,No,823854,2021-05-31T00:00:00.000,GREEN,GREEN
04 GENESEE VALLEY,Under Construction,,No,Yes,No,616300,2020-10-31T00:00:00.000,GREEN,GREEN
04 GENESEE VALLEY,In Development,1300000,Yes,Yes,Yes,,,,
04 GENESEE VALLEY,In Development,1600000,No,Yes,No,,,,
04 GENESEE VALLEY,In Development,210000,Yes,No,Yes,,,,
04 GENESEE VALLEY,In Development,3800000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,80000000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,3000000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,10600000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,6400000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,5300000,Yes,No,Yes,,,,
04 GENESEE VALLEY,In Development,290000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,1700000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,2800000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,8100000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,3600000,Yes,No,No,,,,
04 GENESEE VALLEY,In Development,1800000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,2700000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,2600000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,2600000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,15600000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,2700000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,2600000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,1000000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,4200000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,170000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,4800000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,2200000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,11000000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,1900000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,3900000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,2100000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,1800000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,1500000,No,Yes,No,,,,
04 GENESEE VALLEY,In Development,2700000,Yes,Yes,No,,,,
04 GENESEE VALLEY,In Development,2800000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,600000,No,Yes,No,,,,
04 GENESEE VALLEY,Future Development,1700000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,130000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,2600000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,6800000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,11400000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,1300000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,6000000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,14400000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,1900000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,2000000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,,No,Yes,No,,,,
04 GENESEE VALLEY,Future Development,900000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,290000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,800000,No,Yes,No,,,,
04 GENESEE VALLEY,Future Development,800000,No,Yes,No,,,,
04 GENESEE VALLEY,Future Development,800000,No,Yes,No,,,,
04 GENESEE VALLEY,Future Development,800000,No,Yes,No,,,,
04 GENESEE VALLEY,Future Development,800000,No,Yes,No,,,,
04 GENESEE VALLEY,Future Development,,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,1100000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,1200000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,2600000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,10000000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,320000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,2700000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Future Development,3700000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Completed Project,,Yes,Yes,No,1281528.43,2018-09-12T00:00:00.000,GREEN,GREEN
04 GENESEE VALLEY,Completed Project,,No,Yes,No,872625,2018-10-10T00:00:00.000,GREEN,GREEN
04 GENESEE VALLEY,Completed Project,700000,Yes,No,Yes,,,,
04 GENESEE VALLEY,Completed Project,2100000,Yes,No,Yes,,,,
04 GENESEE VALLEY,Completed Project,410000,Yes,No,Yes,,,,
04 GENESEE VALLEY,Completed Project,1000000,Yes,Yes,No,,,,
04 GENESEE VALLEY,Completed Project,,Yes,Yes,No,10448891.04,2018-08-30T00:00:00.000,GREEN,GREEN
04 GENESEE VALLEY,Completed Project,,Yes,Yes,No,351976.78,2018-09-10T00:00:00.000,RED,GREEN
04 GENESEE VALLEY,Completed Project,,Yes,Yes,No,5973903.84,2018-12-06T00:00:00.000,GREEN,RED
04 GENESEE VALLEY,Completed Project,,Yes,Yes,No,2199225.55,2018-11-21T00:00:00.000,YELLOW,GREEN
04 GENESEE VALLEY,Completed Project,600000,Yes,No,Yes,,,,
04 GENESEE VALLEY,Completed Project,,Yes,Yes,No,872259.94,2018-09-28T00:00:00.000,GREEN,GREEN
04 GENESEE VALLEY,Completed Project,600000,Yes,No,Yes,,,,
04 GENESEE VALLEY,Completed Project,,Yes,Yes,No,3917821.64,2018-10-31T00:00:00.000,RED,GREEN
04 GENESEE VALLEY,Completed Project,,Yes,Yes,No,1749107.83,2018-10-30T00:00:00.000,GREEN,GREEN
04 GENESEE VALLEY,Completed Project,,Yes,Yes,No,14548120.9,2019-01-31T00:00:00.000,RED,GREEN
04 GENESEE VALLEY,Completed Project,,Yes,Yes,No,933732.75,2018-10-23T00:00:00.000,RED,GREEN
04 GENESEE VALLEY,Completed Project,,Yes,Yes,No,1120147.28,2018-08-29T00:00:00.000,GREEN,GREEN
04 GENESEE VALLEY,Completed Project,,No,Yes,No,525164,2019-05-01T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,670638.44,2019-10-31T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,574463,2019-10-31T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,No,No,No,1073990.35,2019-12-01T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,6385771.55,2020-07-01T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,No,Yes,No,27650000,2020-09-04T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,4225200.07,2019-11-14T00:00:00.000,RED,RED
05 WESTERN NEW YORK,Under Construction,,No,Yes,No,537342.5,2019-10-13T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,6501005.31,2019-12-01T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,2890380.52,2019-12-01T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,2633555.89,2020-11-30T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,Yes,2041736.99,2019-10-02T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,No,Yes,No,18055503.21,2020-06-30T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,No,No,No,3423213.83,2019-08-31T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,356774.15,2020-11-30T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,273931.22,2019-05-31T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,676940,2019-10-01T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,2226882.73,2020-05-31T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,2575537.13,2019-12-01T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,1420421.61,2020-07-31T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,4327419.71,2019-10-31T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,3420609.22,2019-07-01T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,3685956.67,2020-07-01T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,1459583.41,2019-12-01T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,5964115.5,2020-12-01T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,2899994.86,2019-08-31T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,Yes,33190409.81,2020-07-01T00:00:00.000,GREEN,RED
05 WESTERN NEW YORK,Under Construction,,Yes,Yes,No,2046842.15,2019-07-12T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Under Construction,,No,Yes,No,1447753.74,2019-09-30T00:00:00.000,RED,RED
05 WESTERN NEW YORK,In Development,,Yes,No,No,,,,
05 WESTERN NEW YORK,In Development,3600000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2000000,No,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1300000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,5000000,Yes,Yes,Yes,,,,
05 WESTERN NEW YORK,In Development,1700000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,,Yes,Yes,Yes,,,,
05 WESTERN NEW YORK,In Development,2500000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,3000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,900000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,500000,No,Yes,No,,,,
05 WESTERN NEW YORK,In Development,490000,Yes,No,No,,,,
05 WESTERN NEW YORK,In Development,4400000,Yes,Yes,Yes,,,,
05 WESTERN NEW YORK,In Development,1600000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2300000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,5000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1300000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2300000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1800000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2400000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2700000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,4400000,Yes,No,No,,,,
05 WESTERN NEW YORK,In Development,14500000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,4000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,77200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,5900000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,7700000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,4700000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,4800000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,800000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,3400000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,4100000,No,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2600000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2700000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,2100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1500000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,390000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,440000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,600000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,270000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,320000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,220000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,900000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,460000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,3800000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1500000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1500000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,1900000,No,Yes,No,,,,
05 WESTERN NEW YORK,In Development,800000,No,Yes,No,,,,
05 WESTERN NEW YORK,In Development,900000,No,Yes,No,,,,
05 WESTERN NEW YORK,In Development,420000,No,Yes,No,,,,
05 WESTERN NEW YORK,In Development,700000,No,Yes,No,,,,
05 WESTERN NEW YORK,In Development,310000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,260000,No,Yes,No,,,,
05 WESTERN NEW YORK,In Development,470000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,250000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,900000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,In Development,,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1400000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2700000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2700000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,500000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,4200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2900000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,4700000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,4200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,4300000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,4400000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,6400000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,6500000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,6600000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3300000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,,Yes,No,No,,,,
05 WESTERN NEW YORK,Future Development,,Yes,No,No,,,,
05 WESTERN NEW YORK,Future Development,,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,,Yes,No,No,,,,
05 WESTERN NEW YORK,Future Development,1000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,500000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,5400000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,410000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,420000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,420000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,430000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,440000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1500000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1900000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3800000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3300000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,18800000,No,No,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,210000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,,Yes,No,No,,,,
05 WESTERN NEW YORK,Future Development,320000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,320000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,330000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,800000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1800000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2700000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2800000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,800000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,500000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,500000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,600000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1300000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1500000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3400000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2400000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,,Yes,No,No,,,,
05 WESTERN NEW YORK,Future Development,3500000,Yes,No,No,,,,
05 WESTERN NEW YORK,Future Development,260000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2200000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,500000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2400000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1800000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2100000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2200000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,700000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,800000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,800000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1500000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2000000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2100000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,2200000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,210000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,220000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1500000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1200000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,300000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,800000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1000000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,900000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,600000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,700000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1200000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1600000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1100000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,500000,No,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,3400000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Future Development,1000000,Yes,Yes,No,,,,
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,1708306.02,2018-09-28T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,894396.05,2018-10-19T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,3011484.72,2019-02-08T00:00:00.000,RED,GREEN
05 WESTERN NEW YORK,Completed Project,,No,Yes,No,1863528.83,2018-11-09T00:00:00.000,RED,RED
05 WESTERN NEW YORK,Completed Project,1700000,Yes,No,Yes,,,,
05 WESTERN NEW YORK,Completed Project,,Yes,No,No,485658.79,2018-09-28T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,1748809.09,2018-09-21T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,2047920.02,2018-08-24T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,2878207.77,2018-11-02T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,2312801.09,2018-10-01T00:00:00.000,RED,RED
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,689058.35,2018-10-12T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,3722832.2,2018-09-08T00:00:00.000,GREEN,RED
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,1130946.14,2018-12-11T00:00:00.000,GREEN,YELLOW
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,1372807.43,2018-09-28T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,No,280528.58,2018-09-17T00:00:00.000,GREEN,GREEN
05 WESTERN NEW YORK,Completed Project,58000000,Yes,Yes,Yes,,,,
05 WESTERN NEW YORK,Completed Project,3000000,Yes,No,No,,,,
05 WESTERN NEW YORK,Completed Project,,Yes,Yes,Yes,4698282.61,2018-11-13T00:00:00.000,GREEN,RED
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,,Yes,Yes,No,1039887,2019-10-02T00:00:00.000,GREEN,GREEN
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,,Yes,Yes,No,1844030.35,2019-10-25T00:00:00.000,GREEN,GREEN
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,,Yes,Yes,No,2650000,2020-10-01T00:00:00.000,GREEN,GREEN
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,,Yes,Yes,No,1188876,2019-10-31T00:00:00.000,GREEN,GREEN
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,,Yes,Yes,No,2211111.11,2020-10-31T00:00:00.000,GREEN,GREEN
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,,No,Yes,No,1025832.99,2018-12-02T00:00:00.000,GREEN,RED
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,700000,No,Yes,No,,,,
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,,Yes,Yes,No,1317209.2,2019-10-01T00:00:00.000,GREEN,GREEN
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,1300000,No,Yes,No,,,,
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,600000,No,Yes,No,,,,
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,900000,No,Yes,No,,,,
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,2500000,No,Yes,No,,,,
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,1500000,No,Yes,No,,,,
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,,Yes,Yes,No,7403879.27,2019-10-18T00:00:00.000,GREEN,GREEN
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,,Yes,Yes,No,984695.36,2019-12-06T00:00:00.000,GREEN,GREEN
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,,Yes,Yes,No,7135810.42,2018-10-17T00:00:00.000,GREEN,GREEN
06 SOUTHERN TIER/CENTRAL NEW YORK,Under Construction,,Yes,Yes,No,965647.38,2020-01-01T00:00:00.000,GREEN,GREEN
